 facilityid |                 url                  |         name          | male | female | unisex | allgender | toiletnote | drinkingwater | shower 
------------+--------------------------------------+-----------------------+------+--------+--------+-----------+------------+---------------+--------
          1 | https://toiletmap.gov.au/facility/1  | Sandy Beach Reserve   | t    | t      | f      | f         |            | f             | t
          2 | https://toiletmap.gov.au/facility/2  | Point Reserve         | t    | t      | f      | f         |            | f             | f
          3 | https://toiletmap.gov.au/facility/3  | Success Hill Reserve  | t    | t      | f      | f         |            | t             | t
          4 | https://toiletmap.gov.au/facility/4  | Jubilee Reserve       | t    | t      | f      | f         |            | f             | f
          5 | https://toiletmap.gov.au/facility/5  | Ashfield Reserve      | t    | t      | f      | f         |            | f             | f
          6 | https://toiletmap.gov.au/facility/6  | BIC Reserve           | t    | t      | f      | f         |            | f             | f
          7 | https://toiletmap.gov.au/facility/7  | Mary Crescent Reserve | t    | t      | f      | f         |            | f             | f
          9 | https://toiletmap.gov.au/facility/9  | Bassendean Oval 3     | t    | t      | f      | f         |            | f             | f
         15 | https://toiletmap.gov.au/facility/15 | Apex Park             | t    | t      | f      | f         |            | f             | f
         16 | https://toiletmap.gov.au/facility/16 | Lions Park            | t    | t      | f      | f         |            | f             | f
         17 | https://toiletmap.gov.au/facility/17 | Parella Street        | t    | t      | f      | f         |            | f             | t
         18 | https://toiletmap.gov.au/facility/18 | Nolan Park            | f    | f      | t      | f         |            | f             | f
         20 | https://toiletmap.gov.au/facility/20 | Binda Park            | f    | f      | f      | f         |            | f             | f
         21 | https://toiletmap.gov.au/facility/21 | Spring Park           | t    | t      | f      | f         |            | f             | f
         22 | https://toiletmap.gov.au/facility/22 | Lions Park            | t    | t      | f      | f         |            | f             | f
         23 | https://toiletmap.gov.au/facility/23 | Drummond Street       | t    | t      | f      | f         |            | f             | f
         24 | https://toiletmap.gov.au/facility/24 | Centenary Park        | t    | t      | f      | f         |            | f             | f
         25 | https://toiletmap.gov.au/facility/25 | Capella Street        | t    | t      | f      | f         |            | f             | f
         26 | https://toiletmap.gov.au/facility/26 | East Palmerston       | t    | t      | f      | f         |            | f             | f
         28 | https://toiletmap.gov.au/facility/28 | Fred Drew Park        | t    | t      | f      | f         |            | f             | f
(20 rows)

 # Toilets in Cooma with Parking 
---------------------------------
                               4
(1 row)

 # Toilets Down Under 
----------------------
                22031
(1 row)

 # Sporting Facilities That Double As Dumps 
--------------------------------------------
                                       1872
(1 row)

               town                | Toilet Count 
 Arakoon                           |            5
 Arakoon (Trial Bay}               |            1
 Aramac                            |            5
 Aramara                           |            1
 Arana Hills                       |            5
 Aranda                            |            1
 Ararat                            |           11
 Aratula                           |            4
 Arcadia                           |            4
 Arcadia Vale                      |            1
 Archerfield                       |            2
 Archer River                      |            2
 Archerton                         |            5
 Ardlethan                         |            4
 Ardross                           |            2
 Ardrossan                         |            6
 Areyonga                          |            1
 Argenton                          |            1
 Argyle                            |            3
 Ariah Park                        |            4
 Armadale                          |           11
 Armidale                          |           14
 Armstrong Beach                   |            1
 Armstrong Creek                   |            3
 Arncliffe                         |            6
 Arno Bay                          |            3
 Arrawarra                         |            1
 Arrowsmith                        |            2
 Artarmon                          |           10
 Arthur-Pieman Conservation Area   |            5
 Arthur River                      |           11
 Arthurs Creek                     |            1
 Arthurs Lake                      |            1
 Arthurs Seat                      |            4
 Arthurton                         |            1
 Arundel                           |            1
 Ascot                             |            7
 Ascot Vale                        |            6
 Ashburton                         |            7
 Ashbury                           |            3
 Ashby                             |            2
 Ashfield                          |           13
 Ashford                           |            6
 Ashgrove                          |            3
 Ashley                            |            1
 Ashmont                           |            2
 Ashmore                           |            2
 Ashton                            |            1
 Ashwood                           |            1
 Aspendale                         |            2
 Aspley                            |            3
 Asquith                           |            6
 Athelstone                        |            6
 Atherton                          |           20
 Athol Park                        |            1
 Atholwood                         |            2
 Atitjere                          |            2
 Atkinsons Dam                     |            2
 Attadale                          |            2
 Attunga                           |            1
 Atwell                            |            3
 Auburn                            |           29
 Auburn Vale                       |            1
 Auchenflower                      |            1
 Augathella                        |            4
 Augusta                           |            6
 Augustine Heights                 |            1
 Aurukun                           |            1
 Austinmer                         |            7
 Austins Ferry                     |            2
 Australind                        |           11
 Avalon                            |            1
 Avalon Beach                      |            5
 Aveley                            |            2
 Avenel                            |            2
 Avenell Heights                   |            3
 Avoca                             |           11
 Avoca Beach                       |            4
 Avoca Dell                        |            1
 Avon                              |            1
 Avondale                          |            1
 Avondale Heights                  |            3
 Awaba                             |            1
 Axedale                           |            1
 Ayr                               |            9
 Babbage Island                    |            1
 Babinda                           |            9
 Bacchus Marsh                     |            8
 Back Creek                        |            2
 Back Valley                       |            1
 Baddaginnie                       |            1
 Badger Creek                      |            1
 Badgingarra                       |            2
 Bael Bael                         |            1
 Baffle Creek                      |            1
 Bagdad                            |            1
 Bagshot                           |            1
 Bahgallah                         |            1
